##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	sampleDat6_2_fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1000000
Total Bases	101 Mbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	47
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.757823	31.0	25.0	34.0	25.0	34.0
2	27.162515	31.0	16.0	34.0	10.0	34.0
3	28.253971	31.0	19.0	34.0	16.0	34.0
4	34.230562	37.0	32.0	37.0	30.0	37.0
5	35.032647	37.0	35.0	37.0	33.0	37.0
6	35.320571	37.0	35.0	37.0	33.0	37.0
7	35.522155	37.0	35.0	37.0	33.0	37.0
8	35.574172	37.0	35.0	37.0	33.0	37.0
9	37.28748	39.0	37.0	39.0	34.0	39.0
10-11	37.277924999999996	39.0	37.0	39.0	34.0	39.0
12-13	37.2437135	39.0	37.0	39.0	34.0	39.0
14-15	38.625595000000004	41.0	38.0	41.0	34.0	41.0
16-17	38.536132499999994	40.0	38.0	41.0	34.0	41.0
18-19	38.5250075	40.0	38.0	41.0	34.0	41.0
20-21	38.446802	40.0	38.0	41.0	34.0	41.0
22-23	38.592978	40.5	39.0	41.0	34.0	41.0
24-25	38.6146105	41.0	39.0	41.0	34.0	41.0
26-27	38.569849	41.0	39.0	41.0	34.0	41.0
28-29	38.493882	41.0	38.5	41.0	34.0	41.0
30-31	38.418936	40.0	38.0	41.0	34.0	41.0
32-33	38.354957	40.0	38.0	41.0	34.0	41.0
34-35	38.2841615	40.0	38.0	41.0	34.0	41.0
36-37	38.213955999999996	40.0	38.0	41.0	34.0	41.0
38-39	38.144163500000005	40.0	38.0	41.0	33.0	41.0
40-41	38.036426	40.0	38.0	41.0	33.0	41.0
42-43	37.878209999999996	40.0	38.0	41.0	33.0	41.0
44-45	37.759504	40.0	38.0	41.0	33.0	41.0
46-47	37.628841	40.0	37.5	41.0	33.0	41.0
48-49	37.4994845	40.0	37.0	41.0	32.0	41.0
50-51	37.324248499999996	40.0	37.0	41.0	32.0	41.0
52-53	37.1678655	40.0	36.5	41.0	32.0	41.0
54-55	36.9986595	40.0	36.0	41.0	31.0	41.0
56-57	36.7850155	39.0	35.5	41.0	31.0	41.0
58-59	36.560834	39.0	35.0	41.0	31.0	41.0
60-61	36.3377875	39.0	35.0	41.0	31.0	41.0
62-63	36.070320499999994	38.5	35.0	40.5	30.0	41.0
64-65	35.812591999999995	38.0	35.0	40.0	30.0	41.0
66-67	35.526232	37.0	35.0	40.0	30.0	41.0
68-69	35.196464000000006	37.0	34.0	40.0	29.0	41.0
70-71	34.8370755	36.0	34.0	39.0	29.0	41.0
72-73	34.4844155	36.0	34.0	39.0	29.0	41.0
74-75	34.1302945	35.0	34.0	38.5	29.0	40.0
76-77	33.7469615	35.0	34.0	37.0	28.0	39.5
78-79	33.5373275	35.0	34.0	37.0	29.0	39.0
80-81	33.2267225	35.0	34.0	36.5	28.5	39.0
82-83	32.907838	35.0	33.0	36.0	27.5	37.5
84-85	32.6101035	35.0	33.0	36.0	27.0	37.0
86-87	32.343723	35.0	33.0	35.0	27.0	37.0
88-89	32.0658275	35.0	33.0	35.0	26.0	36.0
90-91	31.840657999999998	35.0	33.0	35.0	26.0	36.0
92-93	31.6472385	35.0	33.0	35.0	25.5	36.0
94-95	31.427961500000002	35.0	32.5	35.0	25.0	35.5
96-97	31.1030485	34.5	32.0	35.0	24.5	35.0
98-99	30.6954435	34.0	32.0	35.0	21.0	35.0
100-101	26.7266155	30.5	25.0	33.5	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	2.453101575365686
1101	2	5.334840210276475
1101	3	4.2790071897478725
1101	4	1.6543785224870717
1101	5	0.8618166979085018
1101	6	0.6552568763083357
1101	7	0.4795527580136749
1101	8	0.38649767551432035
1101	9	0.3547979378580024
1101	10-11	0.40946108649727364
1101	12-13	0.441482626587792
1101	14-15	0.37101984970072976
1101	16-17	0.46915183475195477
1101	18-19	0.46953304186497036
1101	20-21	0.4038016775473494
1101	22-23	0.40140194526532014
1101	24-25	0.49257861961725524
1101	26-27	0.47513858964455125
1101	28-29	0.4483508401193106
1101	30-31	0.5682842940345836
1101	32-33	0.6054571456883409
1101	34-35	0.5668725101770562
1101	36-37	0.5641630110139033
1101	38-39	0.5190016917560527
1101	40-41	0.5905493129775294
1101	42-43	0.5587781873206126
1101	44-45	0.49303164775843555
1101	46-47	0.5125414304730143
1101	48-49	0.5187886919771358
1101	50-51	0.7473112633215919
1101	52-53	0.6868574072222629
1101	54-55	0.6293982718657389
1101	56-57	0.773167628410306
1101	58-59	0.6764424448423583
1101	60-61	0.7287550832718708
1101	62-63	0.6156003346053467
1101	64-65	0.6486716282056264
1101	66-67	0.6211309510141092
1101	68-69	0.6537629320178695
1101	70-71	0.5807316360929491
1101	72-73	0.5537059547731431
1101	74-75	0.6843074026190266
1101	76-77	0.7192123390988314
1101	78-79	0.6502942785054486
1101	80-81	0.6579697796802222
1101	82-83	0.6339928059813218
1101	84-85	0.6951516233735902
1101	86-87	0.754452516222436
1101	88-89	0.7880327333715584
1101	90-91	0.7033257116725444
1101	92-93	0.7419146213859271
1101	94-95	0.6362514009695701
1101	96-97	0.8657865302393937
1101	98-99	1.029641199614879
1101	100-101	0.5130716072088077
1102	1	2.180867229443045
1102	2	5.085530814929292
1102	3	4.180363751152896
1102	4	1.484378381740001
1102	5	0.7593085508848105
1102	6	0.4864836380238984
1102	7	0.38154886034983804
1102	8	0.3493600176759273
1102	9	0.2825885144644005
1102	10-11	0.2974626395209867
1102	12-13	0.3848884034652471
1102	14-15	0.39085832013029176
1102	16-17	0.29878798299225195
1102	18-19	0.3952671665401013
1102	20-21	0.3313873126959379
1102	22-23	0.2943219216335393
1102	24-25	0.30511245469671167
1102	26-27	0.43205659967329524
1102	28-29	0.41624300177795703
1102	30-31	0.4481570174937133
1102	32-33	0.46056027380901554
1102	34-35	0.48858264194034007
1102	36-37	0.38719777862849014
1102	38-39	0.36652610536430075
1102	40-41	0.3550641973229247
1102	42-43	0.4717839713384038
1102	44-45	0.5037248201869815
1102	46-47	0.37959467096820987
1102	48-49	0.3867334449780486
1102	50-51	0.4709986853743118
1102	52-53	0.39795569089763205
1102	54-55	0.3873709923382904
1102	56-57	0.43096465535170125
1102	58-59	0.37859917047517655
1102	60-61	0.37069163243533865
1102	62-63	0.22511802874274878
1102	64-65	0.1316141138056608
1102	66-67	0.2057031159820184
1102	68-69	0.24229129100664437
1102	70-71	0.25933897478222434
1102	72-73	0.39691715741561495
1102	74-75	0.2730043148000618
1102	76-77	0.14039844550978842
1102	78-79	0.16244280991281101
1102	80-81	0.38521466961773854
1102	82-83	0.36631832167341827
1102	84-85	0.41972935643271114
1102	86-87	0.4324403961837291
1102	88-89	0.14484593832984416
1102	90-91	0.34314590558080127
1102	92-93	0.39281538543651706
1102	94-95	0.480920708875054
1102	96-97	0.5351346001336985
1102	98-99	0.5433209561018586
1102	100-101	0.12031280339408212
1103	1	2.200569907675469
1103	2	5.1895817509963535
1103	3	4.238858000850165
1103	4	1.5881282665991492
1103	5	0.725697306846854
1103	6	0.4904121316220653
1103	7	0.4010448467081744
1103	8	0.2528897307561522
1103	9	0.41856570646542224
1103	10-11	0.3816239760086191
1103	12-13	0.47361515905435425
1103	14-15	0.33497535266403844
1103	16-17	0.41309016201886806
1103	18-19	0.4201973518663209
1103	20-21	0.44582721141691195
1103	22-23	0.44426429504038367
1103	24-25	0.41693365723902076
1103	26-27	0.48847921266298755
1103	28-29	0.5110161686793973
1103	30-31	0.455000091181617
1103	32-33	0.5301846562608787
1103	34-35	0.5816730673885999
1103	36-37	0.4441193727620316
1103	38-39	0.5346535443845823
1103	40-41	0.5946405239140589
1103	42-43	0.5881166733628618
1103	44-45	0.5536029393807951
1103	46-47	0.5425759316538432
1103	48-49	0.5787443547143596
1103	50-51	0.5718535360057331
1103	52-53	0.5885530079472403
1103	54-55	0.5250194678733919
1103	56-57	0.5706971241738046
1103	58-59	0.4565186370304133
1103	60-61	0.4365580420851529
1103	62-63	0.4757671984929459
1103	64-65	0.5649371125452873
1103	66-67	0.5665556750296261
1103	68-69	0.5409925021760955
1103	70-71	0.4747590872495593
1103	72-73	0.49357054637602715
1103	74-75	0.40393912373365026
1103	76-77	0.5032334492279986
1103	78-79	0.4782392363900456
1103	80-81	0.5524286204205779
1103	82-83	0.6205268602944685
1103	84-85	0.496766338551609
1103	86-87	0.43056331943588333
1103	88-89	0.6055144966764843
